Seção,Nome Seção,Divisão,Nome Divisão,Grupo,Nome Grupo
F,CONSTRUÇÃO,42,OBRAS DE INFRA-ESTRUTURA,422,"Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos"
F,CONSTRUÇÃO,42,OBRAS DE INFRA-ESTRUTURA,429,Construção de outras obras de infra-estrutura
F,CONSTRUÇÃO,43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,431,Demolição e preparação do terreno
F,CONSTRUÇÃO,43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,432,"Instalações elétricas, hidráulicas e outras instalações em construções"
F,CONSTRUÇÃO,43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,433,Obras de acabamento
F,CONSTRUÇÃO,43,SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,439,Outros serviços especializados para construção
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,451,Comércio de veículos automotores
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,452,Manutenção e reparação de veículos automotores
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,453,Comércio de peças e acessórios para veículos automotores
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,45,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,454,"Comércio, manutenção e reparação de motocicletas, peças e acessórios"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",461,"Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",462,Comércio atacadista de matérias-primas agrícolas e animais vivos
